"subtype","AUC"
"mRNA",0.9903
"miRNA",0.6314
"proteomics",0.9959
"mRNA",1.008e-10
"miRNA",0.1305
"proteomics",9.626e-13
"mRNA",0.9815
"miRNA",0.9719
"proteomics",1
"mRNA",2.148e-10
"miRNA",5.555e-08
"proteomics",6.268e-13
"mRNA",0.9806
"miRNA",0.9732
"proteomics",1
"mRNA",2.335e-10
"miRNA",5.115e-08
"proteomics",6.268e-13
"mRNA",0.9806
"miRNA",0.9758
"proteomics",1
"mRNA",2.335e-10
"miRNA",4.335e-08
"proteomics",6.268e-13
"mRNA",0.9485
"miRNA",0.5485
"proteomics",0.9078
"mRNA",3.327e-09
"miRNA",0.5769
"proteomics",4.433e-09
"mRNA",0.9602
"miRNA",0.8801
"proteomics",0.9486
"mRNA",1.292e-09
"miRNA",1.212e-05
"proteomics",1.086e-10
"mRNA",0.9553
"miRNA",0.8673
"proteomics",0.9494
"mRNA",1.921e-09
"miRNA",2.351e-05
"proteomics",1.005e-10
"mRNA",0.9572
"miRNA",0.8801
"proteomics",0.9567
"mRNA",1.64e-09
"miRNA",1.212e-05
"proteomics",4.966e-11
"mRNA",0.5
"miRNA",0.5
"proteomics",0.5
"mRNA",1
"miRNA",1
"proteomics",1
"mRNA",0.5
"miRNA",0.5
"proteomics",0.5
"mRNA",1
"miRNA",1
"proteomics",1
"mRNA",0.5
"miRNA",0.5
"proteomics",0.5
"mRNA",1
"miRNA",1
"proteomics",1
"mRNA",0.5
"miRNA",0.5
"proteomics",0.5
"mRNA",1
"miRNA",1
"proteomics",1
